Sample	Station	Depth	Fraction	Extract	lat	long	Ocean	Sub_ocean	Long_prov	Dataset	Layer	Layer2	Leg	Date	Notes	Temp	Cond	Ox_v	Fluo	PAR	SPAR	Turb	Batt	Sal	Ox_mL_L
MD2243	120	3	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Surface	Surface	Photic	6	02/06/2011	NA	29.28	5.5337	2.7122	0.15192	72.272	1243.3	0.05	0.2596	33.462	4.1771
D2229	120	3	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Vertical_DNA	Surface	Photic	6	02/06/2011	NA	29.28	5.5337	2.7122	0.15192	72.272	1243.3	0.05	0.2596	33.462	4.1771
R2229	120	3	Pico	RNA	10.759	-102.442	PO	NPO	PNEC	Vertical_RNA	Surface	Photic	6	02/06/2011	NA	29.28	5.5337	2.7122	0.15192	72.272	1243.3	0.05	0.2596	33.462	4.1771
D2227	120	37	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Vertical_DNA	DCM	Photic	6	02/06/2011	DCM	26.14	5.2932	2.2291	0.78542	10.714	1242.5	0.038	0.2628	34.022	3.3975
R2227	120	37	Pico	RNA	10.759	-102.442	PO	NPO	PNEC	Vertical_RNA	DCM	Photic	6	02/06/2011	DCM	26.14	5.2932	2.2291	0.78542	10.714	1242.5	0.038	0.2628	34.022	3.3975
D2225	120	280	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Vertical_DNA	Mesopelagic	Aphotic	6	02/06/2011	DSL	11.12	3.9025	0.5649	-9.99E-29	1.00E-12	1150.7	0.02	0.2161	34.745	0.11763
R2225	120	280	Pico	RNA	10.759	-102.442	PO	NPO	PNEC	Vertical_RNA	Mesopelagic	Aphotic	6	02/06/2011	DSL	11.12	3.9025	0.5649	-9.99E-29	1.00E-12	1150.7	0.02	0.2161	34.745	0.11763
D2223	120	600	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Vertical_DNA	Mesopelagic	Aphotic	6	02/06/2011	min O2	7.0913	3.5252	0.5274	0.018103	1.00E-12	518.09	0.021	0.2166	34.577	0.02245
R2223	120	600	Pico	RNA	10.759	-102.442	PO	NPO	PNEC	Vertical_RNA	Mesopelagic	Aphotic	6	02/06/2011	min O2	7.0913	3.5252	0.5274	0.018103	1.00E-12	518.09	0.021	0.2166	34.577	0.02245
D2221	120	780	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Vertical_DNA	Mesopelagic	Aphotic	6	02/06/2011	min sal	5.7417	3.4092	0.5504	0.017482	1.00E-12	277.12	-9.99E-29	0.2153	34.562	0.09606
R2221	120	780	Pico	RNA	10.759	-102.442	PO	NPO	PNEC	Vertical_RNA	Mesopelagic	Aphotic	6	02/06/2011	min sal	5.7417	3.4092	0.5504	0.017482	1.00E-12	277.12	-9.99E-29	0.2153	34.562	0.09606
D2219	120	2000	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Vertical_DNA	Bathypelagic	Aphotic	6	02/06/2011	NA	2.2649	3.1592	0.972	-9.99E-29	1.00E-12	70.177	0.017	0.2059	34.65	1.8557
R2219	120	2000	Pico	RNA	10.759	-102.442	PO	NPO	PNEC	Vertical_RNA	Bathypelagic	Aphotic	6	02/06/2011	NA	2.2649	3.1592	0.972	-9.99E-29	1.00E-12	70.177	0.017	0.2059	34.65	1.8557
D2217	120	2800	Pico	DNA	10.759	-102.442	PO	NPO	PNEC	Vertical_DNA	Bathypelagic	Aphotic	6	02/06/2011	NA	1.8459	3.1559	1.0227	-9.99E-29	1.00E-12	10.32	0.016	0.2022	34.674	2.321
R2217	120	2800	Pico	RNA	10.759	-102.442	PO	NPO	PNEC	Vertical_RNA	Bathypelagic	Aphotic	6	02/06/2011	NA	1.8459	3.1559	1.0227	-9.99E-29	1.00E-12	10.32	0.016	0.2022	34.674	2.321
MD2247	121	3	Pico	DNA	10.093	-99.246	PO	NPO	PNEC	Surface	Surface	Photic	6	03/06/2011	NA	29.045	5.5691	2.6935	0.058221	322.24	1576	0.037	0.2558	33.868	4.1481
MD2304	122	3	Pico	DNA	9.446	-96.341	PO	NPO	PNEC	Surface	Surface	Photic	6	04/06/2011	NA	28.536	5.5272	2.7342	0.40084	86.456	1100.9	0.081	0.3595	33.942	4.2602
MD2332	124	3	Pico	DNA	8.142	-90.365	PO	NPO	PNEC	Surface	Surface	Photic	6	06/06/2011	NA	28.187	5.5392	2.6756	0.91293	71.115	263.46	0.073	0.3492	34.278	4.1632
MD2340	125	3	Pico	DNA	7.224	-87.96	PO	NPO	PNEC	Surface	Surface	Photic	6	07/06/2011	NA	27.768	5.4866	2.7324	3.5095	NA	4.1281	1.095	0.447	34.214	4.3057
MD2380	126	3	Pico	DNA	5.912	-84.795	PO	NPO	PNEC	Surface	Surface	Photic	6	08/06/2011	NA	27.605	5.3187	2.7036	0.74534	62.917	329.56	0.048	0.2881	33.153	4.2834
MD2408	127	3	Pico	DNA	12.363	-74.039	AO	NAO	CARB	Surface	Surface	Photic	7	20/06/2011	Superficie	28.384	5.7653	2.7229	0.10007	53.404	672.01	0.058	0.2386	35.708	4.2064
MD2436	128	3	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Surface	Surface	Photic	7	21/06/2011	Superficie	28.713	5.7813	2.709	0.084851	52.3	643.49	0.032	0.2057	35.572	4.162
D2422	128	3	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Vertical_DNA	Surface	Photic	7	21/06/2011	Superficie	28.713	5.7813	2.709	0.084851	52.3	643.49	0.032	0.2057	35.572	4.162
R2422	128	3	Pico	RNA	14.158	-71.673	AO	NAO	CARB	Vertical_RNA	Surface	Photic	7	21/06/2011	Superficie	28.713	5.7813	2.709	0.084851	52.3	643.49	0.032	0.2057	35.572	4.162
D2420	128	106	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Vertical_DNA	DCM	Photic	7	21/06/2011	DCM	25.335	5.5815	2.2799	0.38819	0.18166	458.27	0.035	0.2014	36.737	3.5675
R2420	128	106	Pico	RNA	14.158	-71.673	AO	NAO	CARB	Vertical_RNA	DCM	Photic	7	21/06/2011	DCM	25.335	5.5815	2.2799	0.38819	0.18166	458.27	0.035	0.2014	36.737	3.5675
D2418	128	460	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Vertical_DNA	Mesopelagic	Aphotic	7	21/06/2011	Minim Oxigen/DSL	10.245	3.8664	1.4463	0.0086341	1.00E-12	307.09	0.023	0.1715	35.139	2.5807
R2418	128	460	Pico	RNA	14.158	-71.673	AO	NAO	CARB	Vertical_RNA	Mesopelagic	Aphotic	7	21/06/2011	Minim Oxigen/DSL	10.245	3.8664	1.4463	0.0086341	1.00E-12	307.09	0.023	0.1715	35.139	2.5807
D2416	128	800	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Vertical_DNA	Mesopelagic	Aphotic	7	21/06/2011	Minim Salinitat	6.4324	3.4891	1.4048	0.009768	1.00E-12	175.82	0.022	0.1675	34.746	2.8038
R2416	128	800	Pico	RNA	14.158	-71.673	AO	NAO	CARB	Vertical_RNA	Mesopelagic	Aphotic	7	21/06/2011	Minim Salinitat	6.4324	3.4891	1.4048	0.009768	1.00E-12	175.82	0.022	0.1675	34.746	2.8038
D2414	128	2000	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Vertical_DNA	Bathypelagic	Aphotic	7	21/06/2011	NA	4.112	3.3502	1.7023	-9.99E-29	1.00E-12	-9.99E-29	-9.99E-29	-9.99E-29	34.98	4.6205
R2414	128	2000	Pico	RNA	14.158	-71.673	AO	NAO	CARB	Vertical_RNA	Bathypelagic	Aphotic	7	21/06/2011	NA	4.112	3.3502	1.7023	-9.99E-29	1.00E-12	-9.99E-29	-9.99E-29	-9.99E-29	34.98	4.6205
D2412	128	2400	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Vertical_DNA	Bathypelagic	Aphotic	7	21/06/2011	Max salinitat	4.1061	3.3656	1.6439	0.0085426	1.00E-12	6.1921	0.017	-9.99E-29	34.981	4.6243
R2412	128	2400	Pico	RNA	14.158	-71.673	AO	NAO	CARB	Vertical_RNA	Bathypelagic	Aphotic	7	21/06/2011	Max salinitat	4.1061	3.3656	1.6439	0.0085426	1.00E-12	6.1921	0.017	-9.99E-29	34.981	4.6243
D2410	128	3100	Pico	DNA	14.158	-71.673	AO	NAO	CARB	Vertical_DNA	Bathypelagic	Aphotic	7	21/06/2011	maxima fondaria	4.1685	3.3979	1.5475	0.0085537	1.00E-12	4.1281	-9.99E-29	0.1614	34.981	4.6251
R2410	128	3100	Pico	RNA	14.158	-71.673	AO	NAO	CARB	Vertical_RNA	Bathypelagic	Aphotic	7	21/06/2011	maxima fondaria	4.1685	3.3979	1.5475	0.0085537	1.00E-12	4.1281	-9.99E-29	0.1614	34.981	4.6251
MD2448	129	3	Pico	DNA	15.069	-69.295	AO	NAO	CARB	Surface	Surface	Photic	7	22/06/2011	Superficie	28.738	5.7846	2.7162	0.075053	85.942	1287.3	0.032	0.2052	35.577	4.1732
MD2474	130	3	Pico	DNA	15.525	-67.014	AO	NAO	CARB	Surface	Surface	Photic	7	23/06/2011	Superficie	29.094	5.8178	2.7209	0.12503	234.88	787.49	0.041	0.3056	35.542	4.1576
MD2516	131	3	Pico	DNA	17.427	-59.828	AO	NAO	NATR	Surface	Surface	Photic	7	25/06/2011	superficie	28.845	5.7889	2.7146	0.10722	101.9	448.96	0.036	0.3243	35.527	4.1645
MD2562	132	3	Pico	DNA	18.064	-57.803	AO	NAO	NATR	Surface	Surface	Photic	7	26/06/2011	Superficie	28.487	5.7595	2.6993	0.066679	91.07	1391.1	0.032	0.2918	35.591	4.1569
MD2594	133	3	Pico	DNA	18.996	-55.15	AO	NAO	NATR	Surface	Surface	Photic	7	27/06/2011	Superficie	27.944	5.8498	2.7153	0.076618	121.89	457.14	0.034	0.2872	36.641	4.1983
MD2624	134	3	Pico	DNA	19.99	-52.637	AO	NAO	NATR	Surface	Surface	Photic	7	28/06/2011	superficie	27.573	5.8283	2.7056	0.08001	77.54	324.47	0.037	0.285	36.778	4.2038
MD2662	135	3	Pico	DNA	20.804	-50.143	AO	NAO	NATR	Surface	Surface	Photic	7	29/06/2011	Superficie	27.048	5.8122	2.7291	0.070886	70.817	296.35	0.033	0.2767	37.079	4.2755
MD2695	137	3	Pico	DNA	22.863	-44.528	AO	NAO	NATR	Surface	Surface	Photic	7	01/07/2011	Superficie	26.566	5.757	2.7223	0.03738	863.68	2055.6	0.104	0.3261	37.066	4.2987
MD2723	138	3	Pico	DNA	23.735	-41.902	AO	NAO	NATR	Surface	Surface	Photic	7	02/07/2011	Superficie	25.874	5.7346	2.719	0.073803	39.281	231.85	0.033	0.3146	37.465	4.3312
MD2751	139	3	Pico	DNA	24.845	-38.71	AO	NAO	NATR	Surface	Surface	Photic	7	03/07/2011	Superficie	25.033	5.6548	2.7258	0.064159	29.481	97.115	0.034	0.2967	37.566	4.3996
MD2761	140	3	Pico	DNA	26.11	-35.258	AO	NAO	NASE	Surface	Surface	Photic	7	04/07/2011	Superficie	24.306	5.5848	2.7314	0.075381	26.376	88.768	0.04	0.3041	37.647	4.4613
MD2821	141	3	Pico	DNA	26.911	-32.837	AO	NAO	NASE	Surface	Surface	Photic	7	05/07/2011	Superficie	23.873	5.522	2.7289	0.06709	62.763	196.08	0.033	0.2865	37.533	4.4863
R2807	141	3	Pico	RNA	26.911	-32.837	AO	NAO	NASE	Vertical_RNA	Surface	Photic	7	05/07/2011	Superficie	23.873	5.522	2.7289	0.06709	62.763	196.08	0.033	0.2865	37.533	4.4863
R2805	141	150	Pico	RNA	26.911	-32.837	AO	NAO	NASE	Vertical_RNA	DCM	Photic	7	05/07/2011	DCM	20.051	5.0456	2.6072	0.44562	0.18761	154.8	0.031	0.2767	36.989	4.6194
D2803	141	430	Pico	DNA	26.911	-32.837	AO	NAO	NASE	Vertical_DNA	Mesopelagic	Aphotic	7	05/07/2011	DSL	14.517	4.3707	2.0844	0.0051202	1.00E-12	162.77	0.019	0.2488	35.989	3.975
R2803	141	430	Pico	RNA	26.911	-32.837	AO	NAO	NASE	Vertical_RNA	Mesopelagic	Aphotic	7	05/07/2011	DSL	14.517	4.3707	2.0844	0.0051202	1.00E-12	162.77	0.019	0.2488	35.989	3.975
D2801	141	900	Pico	DNA	26.911	-32.837	AO	NAO	NASE	Vertical_DNA	Mesopelagic	Aphotic	7	05/07/2011	Min O2	8.4032	3.7247	1.6128	0.0069187	1.00E-12	167.18	0.018	-9.99E-29	35.274	3.3492
R2801	141	900	Pico	RNA	26.911	-32.837	AO	NAO	NASE	Vertical_RNA	Mesopelagic	Aphotic	7	05/07/2011	Min O2	8.4032	3.7247	1.6128	0.0069187	1.00E-12	167.18	0.018	-9.99E-29	35.274	3.3492
D2799	141	1000	Pico	DNA	26.911	-32.837	AO	NAO	NASE	Vertical_DNA	Bathypelagic	Aphotic	7	05/07/2011	Min Sal	7.6259	3.6536	1.657	0.0069188	1.00E-12	-9.99E-29	0.017	0.242	35.247	3.5897
R2799	141	1000	Pico	RNA	26.911	-32.837	AO	NAO	NASE	Vertical_RNA	Bathypelagic	Aphotic	7	05/07/2011	Min Sal	7.6259	3.6536	1.657	0.0069188	1.00E-12	-9.99E-29	0.017	0.242	35.247	3.5897
D2797	141	2500	Pico	DNA	26.911	-32.837	AO	NAO	NASE	Vertical_DNA	Bathypelagic	Aphotic	7	05/07/2011	maxO2	3.1801	3.2875	1.7477	0.0066889	1.00E-12	24.768	0.012	0.2358	34.987	5.2504
R2797	141	2500	Pico	RNA	26.911	-32.837	AO	NAO	NASE	Vertical_RNA	Bathypelagic	Aphotic	7	05/07/2011	maxO2	3.1801	3.2875	1.7477	0.0066889	1.00E-12	24.768	0.012	0.2358	34.987	5.2504
D2795	141	4000	Pico	DNA	26.911	-32.837	AO	NAO	NASE	Vertical_DNA	Bathypelagic	Aphotic	7	05/07/2011	maxima fondaria	2.4379	3.2703	1.506	0.0073533	1.00E-12	4.1281	0.012	0.2341	34.905	5.224
R2795	141	4000	Pico	RNA	26.911	-32.837	AO	NAO	NASE	Vertical_RNA	Bathypelagic	Aphotic	7	05/07/2011	maxima fondaria	2.4379	3.2703	1.506	0.0073533	1.00E-12	4.1281	0.012	0.2341	34.905	5.224
MD2864	143	3	Pico	DNA	28.875	-26.951	AO	NAO	NASE	Surface	Surface	Photic	7	07/07/2011	Superficie	22.428	5.343	2.7272	0.094096	97.028	823.19	0.039	0.2981	37.374	4.5903
MD2926	144	3	Pico	DNA	29.967	-23.686	AO	NAO	NASE	Surface	Surface	Photic	7	08/07/2011	Superficie	21.082	5.1478	2.7439	0.089763	47.824	148.61	-9.99E-29	0.2969	36.977	4.7473
MD2956	145	3	Pico	DNA	30.966	-20.65	AO	NAO	NASE	Surface	Surface	Photic	7	09/07/2011	Superficie	20.96	5.1251	2.7418	0.096649	69.461	206.4	0.021	0.2946	36.899	4.7539
MD2973	146	3	Pico	DNA	32.079	-17.266	AO	NAO	NASE	Surface	Surface	Photic	7	10/07/2011	superficie	21.264	5.1548	2.7431	0.099245	35.339	156.4	0.033	0.2846	36.876	4.7341
